Cấu hình,Exact Match,F1,Faithfulness,Answer Relevancy
Không sử dụng RAG,0.0,0.13059247829437914,0.17857142857142858,0.7857142857142857
Có sử dụng RAG,0.0,0.6711243929656134,0.9571428571428572,0.8142857142857143
